ram_gb,ssd_gb,hdd_gb,bit,display,rating,brand_APPLE,brand_ASUS,brand_Acer,brand_DELL,brand_HP,brand_Lenovo,brand_Nokia,brand_Vaio,processor_brand_AMD,processor_brand_Apple,processor_brand_Intel,processor_type_Core i3,processor_type_Core i5,processor_type_Core i7,processor_type_Core i9,processor_type_M1 Max,processor_type_M1 Pro,processor_type_M1 Processor,processor_type_Pentium Quad,processor_type_Pentium Silver,processor_type_Ryzen 3,processor_type_Ryzen 5,processor_type_Ryzen 7,processor_type_Ryzen 9,processor_generation_10th,processor_generation_11th,processor_generation_12th,processor_generation_9th,processor_generation_Unknown,os_Mac,os_Windows,ram_type_DDR4,ram_type_DDR5,ram_type_LPDDR3,ram_type_LPDDR4,ram_type_LPDDR4X,ram_type_Unified,recommend,Y_prediction
0.0,0.0,1.0,1.0,0.558490566037736,0.62,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
0.0,0.16666666666666666,0.0,1.0,0.6792452830188678,0.9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
0.0,0.16666666666666666,0.0,1.0,0.6792452830188678,0.82,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
0.3333333333333333,0.3333333333333333,0.0,1.0,0.18867924528301885,0.96,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
0.0,0.08333333333333333,0.0,1.0,0.3773584905660377,0.86,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
0.3333333333333333,0.08333333333333333,1.0,1.0,0.6792452830188678,0.8800000000000001,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
0.0,0.08333333333333333,1.0,1.0,0.6792452830188678,0.86,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
0.0,0.08333333333333333,1.0,1.0,0.6792452830188678,0.8400000000000001,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
0.3333333333333333,0.16666666666666666,0.0,1.0,0.3773584905660377,0.9400000000000001,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1
0.0,0.16666666666666666,0.0,1.0,0.6792452830188678,0.86,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
