brand,processor_brand,processor_type,processor_generation,ram_gb,ram_type,ssd_gb,hdd_gb,os,bit,display,rating,recommend
Lenovo,Intel,Core i5,11th,8,DDR4,512,0,Windows,32,15.6,3.5,0
DELL,Intel,Core i3,11th,8,DDR4,0,1024,Windows,32,15.6,3.8,0
ASUS,Intel,Core i3,10th,8,DDR4,0,1024,Windows,64,15.6,2,0
Lenovo,Intel,Core i5,11th,8,DDR4,256,0,Windows,64,15.6,2.8,0
ASUS,Intel,Core i3,11th,8,DDR4,0,1024,Windows,64,15.6,3.2,0
HP,Intel,Core i5,10th,8,DDR4,0,1024,Windows,32,15.6,3.4,0
Acer,Intel,Core i5,10th,8,DDR4,0,1024,Windows,64,15.6,3.2,0
DELL,AMD,Ryzen 3,Unknown,8,DDR4,0,1024,Windows,64,14.96,3.1,0
Acer,Intel,Core i5,11th,16,DDR4,256,1024,Windows,64,14,3.4,0
APPLE,Apple,M1 Processor,Unknown,8,DDR4,512,0,Mac,64,13.3,4.7,1
DELL,Intel,Core i3,10th,8,DDR4,256,1024,Windows,64,15.6,2.9,0
DELL,Intel,Core i3,10th,8,DDR4,0,1024,Windows,64,14.96,3.2,0
